Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
37;20,3;31;2005-08-2608:30:00;2005-08-2607:00:00;2005-08-26-00:00:00
32;27,7;30;2005-08-2721:15:00;2005-08-2707:30:00;2005-08-27-00:00:00
37;31,78;33;2005-08-2817:30:00;2005-08-28-00:00:00;2005-08-28-00:00:00
37;32,8;34;2005-08-2904:45:00;2005-08-2914:15:00;2005-08-29-00:00:00
38;31,78;34;2005-08-3010:00:00;2005-08-3023:15:00;2005-08-30-00:00:00
37;30,76;34;2005-08-3122:15:00;2005-08-3110:00:00;2005-08-31-00:00:00
43;31,78;35;2005-09-0116:15:00;2005-09-0101:15:00;2005-09-01-00:00:00
58;34,84;45;2005-09-0209:00:00;2005-09-0203:00:00;2005-09-02-00:00:00
53;37,9;47;2005-09-0304:45:00;2005-09-0317:30:00;2005-09-03-00:00:00
48;34,84;42;2005-09-04-00:00:00;2005-09-0423:45:00;2005-09-04-00:00:00
37;31,78;35;2005-09-0506:00:00;2005-09-0522:15:00;2005-09-05-00:00:00
37;29,74;34;2005-09-0615:30:00;2005-09-0602:00:00;2005-09-06-00:00:00
36;30,76;34;2005-09-0713:30:00;2005-09-0707:15:00;2005-09-07-00:00:00
43;30,76;36;2005-09-0819:15:00;2005-09-0801:30:00;2005-09-08-00:00:00
100;43,034;73;2005-09-0916:15:00;2005-09-09-00:00:00;2005-09-09-00:00:00
94;36,88;77;2005-09-1014:30:00;2005-09-1021:30:00;2005-09-10-00:00:00
79;43,034;63;2005-09-11-00:00:00;2005-09-1108:15:00;2005-09-11-00:00:00
64;34,84;49;2005-09-12-00:00:00;2005-09-1221:00:00;2005-09-12-00:00:00
53;36,88;41;2005-09-1322:30:00;2005-09-1313:15:00;2005-09-13-00:00:00
58;48,168;52;2005-09-1403:45:00;2005-09-1407:00:00;2005-09-14-00:00:00
58;36,88;49;2005-09-1513:00:00;2005-09-1523:45:00;2005-09-15-00:00:00
